partner,geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ASI_OTH,CY,88079,120679,99230,75932,80410,104653,90409,92635,77916,75539 b,71793,: 
ASI_OTH,CZ,: u,: u,: u,: u,: ,: u,: u,: ,: u,127054 u,103095 u,: 
ASI_OTH,DE,: u,: u,: u,: u,2116913,2268902,2508029,2894238,2625270,3095434,3271576,: 
ASI_OTH,DK,163600,133920,155620,225167,203179,173744,212386,237852,339128,307763,275843 b,: 
ASI_OTH,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,6567217 e,6648727 e,: 
ASI_OTH,EE,: ,: ,: ,: ,: u,: ,: u,: ,: ,: u,37619 u,: 
ASI_OTH,EL,12122,51773,32842,59465,25098,67405,26496,26619,23986,20776 u,17394 u,: 
ASI_OTH,ES,43965,76681,122670,: u,: u,: u,: u,: u,: u,258628,168659,286260
ASI_OTH,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,10808354 e,10796201 e,: 
ASI_OTH,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,10827322 e,10840168 e,: 
ASI_OTH,FI,103000,132000,110000,147000,205000,161000,224000,217000,218000,286625 b,277437,283088
ASI_OTH,FR,587000,933000,944114,1006805,1037052,952517,1054565,1067130,1131787,1070194,1207470,: 
ASI_OTH,HR,: ,: ,: ,: ,25585,22744,31234,22315,8257,: u,: u,: 
ASI_OTH,HU,: ,: ,52003,: u,75165,76196,: u,54268,50134,55027,59620,82140
ASI_OTH,IE,52000,78000,63000,91000,120000,101000,81000,: u,: u,118778,90043,122300
ASI_OTH,IT,254354,387082,352925,358598,360675,623921,763828,451737,394149,414131,373169 u,456607 bu
ASI_OTH,LT,: ,1502,3521,6220,: u,: u,: u,: u,: u,15197,13624,: 
ASI_OTH,LU,17000,16000,15000,14000,15108,18242,21047,29192,21641,27972,37510,28985
ASI_OTH,LV,: u,2734,5414,15488,18552,22057,15902,20229,9798,: u,: u,: u
ASI_OTH,MT,: ,: ,: ,: ,: ,: ,5228,5557,4242,8100,8718,: 
ASI_OTH,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,521329 b,491600,: 
ASI_OTH,NO,: ,209690,139918,218135,216388,295341,212998,314318,312075,: ,: ,: 
ASI_OTH,PL,: ,35000 e,22000,: ,38000,30000,: ,46000,42000 e,: u,: u,: 
ASI_OTH,PT,: ,: ,: ,: ,21677,: u,24901,39659,30190,22240 u,24598 u,: 
ASI_OTH,RO,: ,: ,6217,12690,: ,: ,7614,: ,: ,: u,: u,: 
ASI_OTH,SE,: ,: ,: ,537000,574000,569000,630000,624000,607000,: ,: ,: 
ASI_OTH,SI,: u,: u,: u,: u,: u,: u,: ,: u,: u,: u,17715 u,: 
ASI_OTH,SK,31931,33176,36639,43602,47602,: ,59380,38339,53998,: u,: u,: 
ASI_OTH,UK,1333719,1562456,1629699,3052436,3016754,3250090,3058177,2728080,3120802,3378785,3365734,: 
AT,AT,: ,: ,: ,: ,: ,: ,: ,: ,: ,10961855,11729815,: 
AT,BE,277419,274597,316939,283415,332944,327659,282338,235946,: u,289223,326754,: 
AT,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AT,CH,: ,: ,: ,: ,: ,: u,: u,: u,: u,846557,891606,: 
AT,CY,5168,5719,7001,7777,9728,16637,13894,13976,12544,11706 bu,: u,: 
AT,CZ,473635,689245,570253,670557,537821,606651,547069,: u,: u,529016,590481,: 
AT,DE,: u,: u,: u,: u,11795080,13516468,13162301,11889907,11911194,11973932,11812136,: 
AT,DK,161200,143163,150247,209490,256205,201998,169158,315241,156499,192187,322148 bu,: 
AT,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,26129948 e,26678203 e,: 
AT,EE,: ,: ,: ,: ,: u,: ,: u,: ,: u,: u,: u,: 
AT,EL,17792,27075,: ,43693,: ,36502,28381,11507,6164,: u,: u,: 
AT,ES,23735,54568,64403,: u,: u,: u,: u,: u,: u,88814,66337,68730
AT,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,28834951 e,29668152 e,: 
AT,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,29112708 e,29916610 e,: 
AT,FI,33000,47000,52000,46000,68000,63000,69000,73000,57000,105742 bu,81254 u,82829 u
AT,FR,373000,473000,516955,524305,553348,389576,348365,378555,404661,383287,430648,: 
AT,HR,: ,: ,: ,: ,304286,315617,264515,206951,304884,277153,248488,: 
AT,HU,: ,: ,971202,701034,526429,586963,572925,536626,561423,540052,587578,696736
AT,IE,43000,41000,67000,106000,109000,88000,84000,: u,: u,45557 u,58484 u,58951
AT,IT,666826,571112,614768,792894,749237,719477,922616,765944,546901,791383,685958,310032 bu
AT,LT,: ,8926,9324,12454,15782,20939,12165,14204,20367,24034,24941,: 
AT,LU,47000,53000,58000,64000,57518,58827,62764,56807,66574,51358,67236,60618
AT,LV,16776,22313,33465,24340,34159,35278,29885,41017,43375,: u,: u,: u
AT,MT,: ,: ,: ,: ,3595 e,: ,3726,4165,3550,2788,4403,: 
AT,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,1113836 b,1010393,: 
AT,NO,: ,26668,67175,49080,33721,49123,39402,76703,53171,: ,: ,: 
AT,PL,390000,313000 e,356000,280000,265000,250000,329000,180000,146000 e,: u,: u,: 
AT,PT,15310,13595,: ,: ,7632,: u,8591,22112,6452,: u,: u,: 
AT,RO,: ,: ,28089,41495,43316,69644,76350,41542,46401,80933,68137,: 
AT,SE,: ,: ,: ,159000,195000,165000,159000,205000,224000,: ,: ,: 
AT,SI,110893,163333,183692,131416,147539,176668,149000,150000,152000,131712,203070,: 
AT,SK,302580,226200,216426,201084,220889,236641,281410,159075,216960,141795 u,167864 bu,: 
AT,UK,544737,571464,625070,603938,627745,670669,609393,522731,459345,486973,529193,: 
AU,AT,: ,9037,: ,20191,5344,: ,: ,: ,19262,: u,: u,: 
AU,BE,: ,5837,9294,14026,: ,12329,16020,: u,: u,: u,: u,: 
AU,CH,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: 
AU,CY,2643,2659,2300,2950,3319,3493,3550,3515,3898,: u,: u,: 
AU,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: ,: 
AU,DE,: u,: u,: ,: ,: u,: u,: u,: u,: u,: u,: u,: 
AU,DK,21600,7223,: ,: ,: ,19456,20757,17527,23174,: u,: u,: 
AU,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,278444 e,465247 e,: 
AU,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: 
AU,EL,: ,: ,: ,10089,: ,: ,: ,1965,0,: u,: u,: 
AU,ES,13710,7089,19112,: u,: ,: ,: ,: u,: u,: u,: u,: u
AU,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,703599 e,983519 e,: 
AU,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,710984 e,989078 e,: 
AU,FI,6000,5000,9000,12000,9000,9000,5000,23000,6000,: u,: u,: u
AU,FR,51000,70000,46839,71034,52894,44414,32721,53550,61461,: u,: u,: 
AU,HR,: ,: ,: ,: ,15599,: ,11697,10928,0,: u,: u,: 
AU,HU,: ,: ,4348,: u,: u,: u,: ,: u,5903,2108 u,6141 u,8411
AU,IE,28000,38000,45000,53000,63000,58000,55000,: u,: u,51875 u,77249,51189 u
AU,IT,37370,: ,7342,: ,: ,41284,24142,: ,: ,: ,: ,: u
AU,LT,: ,: ,: ,: u,: u,: ,: ,: ,: u,: u,: u,: 
AU,LU,: ,: ,2000,: ,989,1708,497,442,1240,: u,: u,: u
AU,LV,: ,: ,: u,: ,: ,: ,2071,249,: ,: ,: ,: 
AU,MT,: ,: ,: ,: ,1866 e,: ,1376,1480,1839,1385 u,1704 u,: 
AU,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AU,NO,: ,4965,14748,17249,11308,: ,: ,21212,19028,: ,: ,: 
AU,PL,: ,: ,: ,: ,132000,: ,: ,0,0 e,: u,: u,: 
AU,PT,: ,: ,: ,: ,: ,: ,: ,1907,1270,: u,: u,: 
AU,RO,: ,: ,: ,: ,: ,: ,: ,8313,: ,: u,: ,: 
AU,SE,: ,: ,: ,35000,: ,: ,17000,24000,: ,: ,: ,: 
AU,SI,: u,: ,: u,: u,: u,: ,: ,: u,: u,: ,: u,: 
AU,SK,: ,: ,: ,: ,: ,: ,: ,4482,0,: ,: ,: 
AU,UK,258246,247528,308323,535244,484081,475874,413172,395429,365805,367157,397564,: 
BE,AT,: ,59772,59033,85426,76323,61039,57158,: u,75083,81750 u,65826 u,: 
BE,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,2778657,2653282,: 
BE,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
BE,CH,: ,: ,: ,: ,: ,: u,: ,: u,: u,: u,: u,: 
BE,CY,3950,9153,8035,8254,7801,8460,7907,9757,12654,22717 bu,15236 u,: 
BE,CZ,: u,: u,: u,: u,: u,: u,: u,: ,: u,: u,: u,: 
BE,DE,: u,: u,: u,: u,1615663,: u,1428117,1279805,1453538,1081792 u,1286893 u,: 
BE,DK,89300,97842,46721,70625,52676,42716,25712,60150,65911,122797 u,: u,: 
BE,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,7904300 e,8049768 e,: 
BE,EE,: ,: ,: ,: ,: u,: ,: u,: ,: u,: u,: u,: 
BE,EL,14739,12921,: ,25214,18823,23878,15997,13368,13269,: u,13219 u,: 
BE,ES,62366,65951,169355,: u,: u,: u,: u,: u,: u,245670,174784,255979
BE,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,9798874 e,9750169 e,: 
BE,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,9806747 e,9779320 e,: 
BE,FI,52000,47000,51000,68000,57000,43000,53000,65000,40000,: u,87106 u,69776 u
BE,FR,1140000,1305000,1647766,1754757,1571955,1427746,1350732,1399712,1515098,1464186,1681362,: 
BE,HR,: ,: ,: ,: ,11455,: ,11113,11966,8719,: u,: u,: 
BE,HU,: ,: ,83086,56056,134736,167781,158109,123519,119098,107907,103515,90607
BE,IE,75000,70000,55000,63000,65000,80000,57000,: u,: u,55040,68630,60576 u
BE,IT,197775,188267,228674,149042,249973,244640,175757,161466,334831,259741 u,191820 u,: u
BE,LT,: ,10529,8690,15001,23046,10687,7913,19349,14597,26434,22654,: 
BE,LU,153000,165000,164000,153000,149072,142301,181863,140431,183493,147830,154342,176515
BE,LV,: u,: u,23912,18926,23562,23413,20776,11217,8493,: u,: u,: u
BE,MT,: ,: ,: ,: ,6040 e,: ,7002,7816,8726,10697,10080,: 
BE,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,1604664 b,1554698,: 
BE,NO,: ,50371,56019,34014,46807,60113,50427,75906,46178,: ,: ,: 
BE,PL,180000,326000 e,167000,96000,250000,113000,274000,91000,86000 e,: u,: u,: 
BE,PT,14108,11755,: ,: ,23365,: u,46304,40376,18343,33057 u,24849 u,: 
BE,RO,: ,: ,4131,2128,: ,2804,7732,: ,10338,: u,: u,: 
BE,SE,: ,: ,: ,148000,103000,114000,79000,125000,88000,: ,: ,: 
BE,SI,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,15598 u,: 
BE,SK,30410,21112,: ,16773,39698,35130,35624,21396,8298,: u,: u,: 
BE,UK,1191812,995620,1000683,1201217,1252261,1231985,992760,913452,937123,1115897,1150160,: 
BG,AT,: ,: ,33572 e,46131 e,58438,48694,42823,: u,27264,64983 u,41755 u,: 
BG,BE,: ,: ,40238,16657,: ,55245,44020,: u,: u,: u,29714 u,: 
BG,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,3106970 b,3413263,: 
BG,CH,: ,: ,: ,: ,: ,: u,: ,: u,: u,: u,: u,: 
BG,CY,: ,: ,16964,17798,25270,27782,27281,26107,25580,24218 b,22224 u,: 
BG,CZ,: ,: ,: ,: ,: ,: ,: u,: ,: ,165906 u,114536 u,: 
BG,DE,: ,: ,: u,: ,620669,: u,: u,: u,: u,: u,532448 u,: 
BG,DK,: ,: ,54667,: ,: ,34208,24108,46338,26047,: u,: u,: 
BG,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,804389 e,956986 e,: 
BG,EE,: ,: ,: ,: ,: ,: ,: u,: ,: ,: u,: u,: 
BG,EL,: ,: ,: ,62637,50275,: ,48645,77834,91761,45870,27325,: 
BG,ES,: ,: ,: ,: ,: ,: u,: u,: u,: u,: u,53482 u,62574 u
BG,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,4811337 e,4920525 e,: 
BG,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,4811993 e,4924335 e,: 
BG,FI,: ,: ,64000,64000,43000,67000,35000,20000,26000,: u,: u,: u
BG,FR,: ,: ,119095,180434,99249,80608,60333,59289,52160,: u,: u,: 
BG,HR,: ,: ,: ,: ,: ,6283,: ,6342,21209,: u,: u,: 
BG,HU,: ,: ,20408,: u,21253,: u,: u,20743,14788,23045,21440,31507
BG,IE,: ,: ,17000,41000,60000,50000,18000,: u,: u,24635 u,: u,: u
BG,IT,: ,: ,: ,34052,: ,: ,: ,58169,199326,: u,: u,: 
BG,LT,: ,: ,6404,: ,: u,: u,: u,: u,: u,20563,17833,: 
BG,LU,: ,: ,3000,: ,3074,2257,4237,2654,3294,: u,: u,: u
BG,LV,: ,: ,: u,: u,4507,7377,9703,1712,10027,: u,: u,: u
BG,MT,: ,: ,: ,: ,3601 e,: ,2345,2467,2145,1676 u,3150,: 
BG,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
BG,NO,: ,: ,: ,: ,97630,: ,: ,: ,34871,: ,: ,: 
BG,PL,: ,: ,55000,23000,127000,: ,56000,130000,121000 e,: u,: u,: 
BG,PT,: ,: ,: ,: ,: ,: ,2463,1024,641,: u,: ,: 
BG,RO,: ,: ,: ,18053,: ,45939,58075,: ,: ,105277,152422,: 
BG,SE,: ,: ,: ,: ,120000,63000,51000,23000,47000,: ,: ,: 
BG,SI,: ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
BG,SK,: ,: ,: ,: ,: ,137041,: ,171495,116515,: u,92139 bu,: 
BG,UK,: ,216994,293370,261785,287175,327208,241321,205439,270529,287734,: ,: 
BR,AT,: ,: ,4258 e,10872 e,6154,10478,8483,: ,5170,: u,: u,: 
BR,BE,: ,: ,6765,: ,17745,: ,11113,: u,: u,: u,: u,: 
BR,CH,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: 
BR,CY,: ,: ,187,219,219,241,329,193,238,: u,: u,: 
BR,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: ,: u,: 
BR,DE,: ,: ,: ,: ,: u,: u,: u,: u,: u,: u,: u,: 
BR,DK,: ,: ,11773,7385,: ,6928,4673,13169,7238,: u,: ,: 
BR,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,518939 e,575869 e,: 
BR,EL,: ,: ,: ,: ,: ,: ,: ,0,2999,: ,: ,: 
BR,ES,: ,: ,106281,: u,: u,: u,: u,: u,: u,72584,54583 u,46164 u
BR,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,673129 e,704870 e,: 
BR,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,673023 e,704773 e,: 
BR,FI,: ,: ,22000,18000,5000,11000,11000,6000,: ,: u,: u,: u
BR,FR,: ,: ,127482,178617,108655,55907,56634,49740,80324,: u,86590 u,: 
BR,HR,: ,: ,: ,: ,: ,: ,: ,0,1782,: ,: ,: 
BR,HU,: ,: ,2326,: u,: u,: u,: u,: u,2255,2615 u,: u,6151 u
BR,IE,: ,: ,3000,: ,: ,: ,5000,: u,: u,: u,: ,: u
BR,IT,: ,: ,113636,174347,139660,261992,113991,: ,: ,: u,: u,: u
BR,LT,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: 
BR,LU,: ,: ,: ,: ,2120,2700,2688,4618,3570,: u,: u,: u
BR,LV,: ,: ,: ,: u,: ,: ,: ,: ,1353,: ,: ,: 
BR,MT,: ,: ,: ,: ,: ,: ,54,48,257,: u,: u,: 
BR,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
BR,NO,: ,: ,20407,20234,22011,18032,11408,35682,33453,: ,: ,: 
BR,PL,: ,: ,: ,: ,: ,: ,: ,0,0 e,: u,: u,: 
BR,PT,: ,: ,: ,: ,49090,: u,51794,52971,47927,30317 u,25815 u,: 
BR,SE,: ,: ,: ,41000,26000,40000,12000,29000,: ,: ,: ,: 
BR,SI,: ,: ,: ,: u,: ,: ,: ,: u,: u,: u,: ,: 
BR,SK,: ,: ,: ,: ,: ,: ,: ,0,0,: ,: ,: 
BR,UK,: ,56553,62355,110819,93531,131089,70931,90826,83837,112301,93650,: 
CA,AT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,39694 u,: 
CA,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,CY,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,996577 e,1034105 e,: 
CA,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,28047 u,: u,: u
CA,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,1486357 e,1458732 e,: 
CA,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,1490670 e,1466754 e,: 
CA,FI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u
CA,FR,: ,: ,: ,: ,: ,: ,: ,: ,: ,305342,370726,: 
CA,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,12314,16212,17107
CA,IE,: ,: ,: ,: ,: ,: ,: ,: ,: ,36617 u,38051 u,43746 u
CA,IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,2513 u,: u,: 
CA,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u
CA,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u
CA,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,1092 u,: u,: 
CA,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,92212 bu,72380 u,: 
CA,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CA,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: 
CA,UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,377821,355463,: 
CH,AT,: ,: ,: ,: ,: ,: ,: ,: ,: ,356672,301234,: 
CH,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,142034,194593,: 
CH,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CH,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,6653495,7227111,: 
CH,CY,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CH,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CH,DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,3566792,3131318,: 
CH,DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CH,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,6080270 e,5733980 e,: 
CH,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CH,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CH,ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,172506,132280,89302
CH,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,7257325 e,7066938 e,: 
CH,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,7313983 e,7113644 e,: 
CH,FI,: ,: ,: ,: ,: ,: ,: ,: ,: ,69114 bu,62472 u,86706 u
CH,FR,: ,: ,: ,: ,: ,: ,: ,: ,: ,943574,1004622,: 
CH,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CH,HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,91357,78746,63394
CH,IE,: ,: ,: ,: ,: ,: ,: ,: ,: ,35963 u,33042 u,36600 u
CH,IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,346501,375579 u,: u
CH,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,6216 u,6224 u,: 
CH,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,54824,58352,58863
CH,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u
CH,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,4024,5679,: 
CH,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,253622 b,260115,: 
CH,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CH,PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,54843 u,105087,: 
CH,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: ,: 
CH,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,23782 u,22672 u,: 
CH,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CH,UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,775317,850439,: 
CH_LI,AT,: ,238204,218215,218199,329458,301804,283374,: u,297950,: ,: ,: 
CH_LI,BE,157549,190359,219941,179634,163397,132630,247379,189705,244560,: ,: ,: 
CH_LI,CH,: ,: ,: ,: ,: ,: ,: ,: u,: u,: ,: ,: 
CH_LI,CY,4143,4227,4399,4366,5512,5875,5877,7333,5324,: ,: ,: 
CH_LI,CZ,70029,: u,: u,40858,83190,92377,: u,: u,: u,: ,: ,: 
CH_LI,DE,: u,: u,: u,: u,4176561,4844776,5018130,3964942,4128432,: ,: ,: 
CH_LI,DK,55300,43781,42593,51590,55666,76853,52885,31463,87848,: ,: ,: 
CH_LI,EE,: ,: ,: ,: ,: u,: ,: u,: ,: ,: ,: ,: 
CH_LI,EL,8581,18277,19273,46690,: ,7693,: ,18546,2231,: ,: ,: 
CH_LI,ES,55875,37153,108440,: u,: u,: u,: u,: u,: u,: ,: ,: 
CH_LI,FI,27000,26000,32000,38000,50000,56000,44000,73000,48000,: ,: ,: 
CH_LI,FR,541000,815000,900516,961204,972600,846829,1022231,944596,1046818,: ,: ,: 
CH_LI,HR,: ,: ,: ,: ,30815,66496,31165,30419,49833,: ,: ,: 
CH_LI,HU,: ,: ,183229,71488,102948,80858,83489,81936,78483,: ,: ,: 
CH_LI,IE,24000,25000,26000,23000,37000,32000,41000,: u,: u,: ,: ,: 
CH_LI,IT,478239,618107,556317,714951,827935,697775,578883,519150,369711,: ,: ,: 
CH_LI,LT,: ,4227,4877,: u,: u,: u,: u,4954,5280,: ,: ,: 
CH_LI,LU,45000,57000,60000,54000,68626,64152,77362,51895,59452,: ,: ,: 
CH_LI,LV,8703,5046,10777,13155,14895,7748,23726,29938,24263,: ,: ,: 
CH_LI,MT,: ,: ,: ,: ,3732 e,: ,3074,3508,4428,: ,: ,: 
CH_LI,NO,: ,23881,36853,27519,36188,66568,30540,52721,64811,: ,: ,: 
CH_LI,PL,: ,65000 e,57000,36000,64000,36000,40000,123000,120000 e,: ,: ,: 
CH_LI,PT,25908,56577,: ,: ,48576,: u,70088,49444,43645,: ,: ,: 
CH_LI,RO,: ,: ,3743,: ,8769,: ,6812,5523,: ,: ,: ,: 
CH_LI,SE,: ,: ,: ,69000,77000,81000,115000,85000,: ,: ,: ,: 
CH_LI,SI,: u,46818,: u,: u,: u,: u,: u,: u,: u,: ,: ,: 
CH_LI,SK,: ,9048,46733,26570,47525,31178,: ,17558,25006,: ,: ,: 
CH_LI,UK,604082,593794,690952,997972,1083897,1051510,775746,793468,770232,: ,: ,: 
CN,AT,: ,: ,10357 e,11270 e,52122,38666,33846,: u,31725,: u,54512 u,: 
CN,BE,: ,: ,18535,24022,25384,6277,24098,: u,: u,: u,41616 u,: 
CN,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: ,: 
CN,CH,: ,: ,: ,: ,: ,: u,: u,: u,: u,: u,: u,: 
CN,CY,: ,: ,5222,2683,3942,4158,3882,4999,5416,: u,: u,: 
CN,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
CN,DE,: ,: ,: u,: u,: u,: u,581267,505880,: u,759893 u,825068 u,: 
CN,DK,: ,: ,59125,46683,56531,26605,82090,44485,64727,: u,: u,: 
CN,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,1255546 e,1351779 e,: 
CN,EE,: ,: ,: ,: ,: ,: ,: u,: ,: ,: u,: u,: 
CN,EL,: ,: ,: ,: ,: ,6388,: ,0,0,: u,: u,: 
CN,ES,: ,: ,88203,: u,: u,: u,: u,: u,: u,48992 u,29454 u,41406 u
CN,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,1877823 e,1894667 e,: 
CN,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,1890520 e,1896839 e,: 
CN,FI,: ,: ,36000,42000,44000,43000,42000,58000,37000,89054 bu,: u,: u
CN,FR,: ,: ,218743,241105,338282,161012,145827,138055,134516,161489 u,189574 u,: 
CN,HR,: ,: ,: ,: ,: ,19548,: ,1245,4691,: u,: u,: 
CN,HU,: ,: ,943,: u,: u,: u,: u,: u,6915,9373,11683,13334
CN,IE,: ,: ,8000,15000,21000,20000,13000,: u,: u,26458 u,21133 u,30172 u
CN,IT,: ,: ,173851,112800,96164,98650,111677,130667,128234,: u,: u,: u
CN,LT,: ,: ,892,: u,: u,: u,: u,: u,: u,: u,: u,: 
CN,LU,: ,: ,3000,3000,2515,5075,4047,4606,3772,: u,8291 u,: u
CN,LV,: ,: ,: u,3365,4854,4456,4442,2278,3313,: u,: u,: u
CN,MT,: ,: ,: ,: ,718 e,: ,892,970,618,: u,: u,: 
CN,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,61033 bu,61558 u,: 
CN,NO,: ,: ,58808,42248,28017,54816,24390,35177,18586,: ,: ,: 
CN,PL,: ,: ,: ,: ,30000,26000,: ,0,0 e,: u,: u,: 
CN,PT,: ,: ,: ,: ,11938,: ,: ,6155,1934,: u,: u,: 
CN,SE,: ,: ,: ,59000,105000,101000,94000,80000,96000,: ,: ,: 
CN,SI,: ,: ,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
CN,SK,: ,: ,: ,: ,: ,11743,: ,0,8298,: u,: ,: 
CN,UK,: ,204247,235840,427249,463838,428908,360426,357839,432004,480742,417416,: 
CY,AT,: ,: ,: ,36990,29256,22498,3407,: ,25782,: u,: u,: 
CY,BE,: ,: ,18590,6829,4488,17097,11200,: u,21164,: u,: u,: 
CY,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
