partner,geo\time,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AME,AT,: ,: ,: ,: ,: ,: ,: ,: ,: ,281977,293105,: 
AME,BE,: ,: ,: ,: ,: ,: ,: ,: ,: ,312816,343357,: 
AME,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,CH,: ,: ,: ,: ,: ,: ,: ,: ,: ,590360,581850,: 
AME,CY,: ,: ,: ,: ,: ,: ,: ,: ,: ,19802 bu,22431 u,: 
AME,CZ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,DE,: ,: ,: ,: ,: ,: ,: ,: ,: ,4244060,4528155,: 
AME,DK,: ,: ,: ,: ,: ,: ,: ,: ,: ,420331,334330 b,: 
AME,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,10884381 e,10910064 e,: 
AME,EE,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,EL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,24734 u,: 
AME,ES,: ,: ,: ,: ,: ,: ,: ,: ,: ,1107924,1130937,1031368
AME,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,16554912 e,16537506 e,: 
AME,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,16574784 e,16565666 e,: 
AME,FI,: ,: ,: ,: ,: ,: ,: ,: ,: ,247015 b,218783,300314
AME,FR,: ,: ,: ,: ,: ,: ,: ,: ,: ,1983018,2173409,: 
AME,HR,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,HU,: ,: ,: ,: ,: ,: ,: ,: ,: ,94187,118365,126728
AME,IE,: ,: ,: ,: ,: ,: ,: ,: ,: ,393170,409996,435097
AME,IT,: ,: ,: ,: ,: ,: ,: ,: ,: ,1133733,765182,518369 bu
AME,LT,: ,: ,: ,: ,: ,: ,: ,: ,: ,28264,27881,: 
AME,LU,: ,: ,: ,: ,: ,: ,: ,: ,: ,46955,55008,50806
AME,LV,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: u
AME,MT,: ,: ,: ,: ,: ,: ,: ,: ,: ,5063,4251,: 
AME,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,942661 b,786582,: 
AME,PL,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,PT,: ,: ,: ,: ,: ,: ,: ,: ,: ,97782,83679,: 
AME,RO,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,SI,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,SK,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: u,: 
AME,UK,: ,: ,: ,: ,: ,: ,: ,: ,: ,4605990,4613000,: 
AME_C_S,AT,: ,111389,73504,104430,63963,110969,73509,: u,47645,91572 u,96425 u,: 
AME_C_S,BE,116478,108555,103945,100227,128531,94211,102393,88645,: u,104778 u,150079,: 
AME_C_S,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: 
AME_C_S,CH,: ,: ,: ,: ,: ,: u,: ,: u,: u,165786 u,175148 u,: 
AME_C_S,CY,940,926,1399,1296,1390,1812,971,1065,1234,: u,: u,: 
AME_C_S,CZ,: ,: u,: u,: ,: u,: ,61367,: ,: u,: u,: u,: 
AME_C_S,DE,: u,: u,: u,: u,1166657,: u,: u,1577931,: u,1232000 u,1335822,: 
AME_C_S,DK,54600,39079,66882,52204,: ,72782,38258,60191,57182,: u,: u,: 
AME_C_S,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,3927084 e,3743940 e,: 
AME_C_S,EE,: ,: ,: ,: ,: ,: ,: u,: ,: u,: u,: u,: 
AME_C_S,EL,11502,: ,: ,: ,: ,7693,: ,8211,2999,: u,: ,: 
AME_C_S,ES,310877,541998,1025474,: u,: u,887620,: u,903663,940627,743880,807953,695346
AME_C_S,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,5465652 e,5317830 e,: 
AME_C_S,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,5464790 e,5325280 e,: 
AME_C_S,FI,19000,26000,52000,59000,29000,64000,35000,54000,: ,89024 bu,77598 u,: u
AME_C_S,FR,1265000,1379000,1017660,984033,924460,646474,619631,561596,744253,724113,726242,: 
AME_C_S,HR,: ,: ,: ,: ,12169,: ,: ,1439,7850,: ,: u,: 
AME_C_S,HU,: ,: ,16708,: u,: u,: u,: u,: u,7351,14086,16712,16877
AME_C_S,IE,25000,24000,35000,52000,41000,46000,40000,49000,38000,46754 u,31293 u,27325 u
AME_C_S,IT,406548,700877,679037,799021,476826,606916,495382,: ,386969,440137,172523 u,: u
AME_C_S,LT,: ,: ,3026,: ,: u,: u,: u,: u,: u,: u,: u,: 
AME_C_S,LU,10000,13000,8000,15000,11314,13031,15299,16999,15985,13153 u,15384 u,14933 u
AME_C_S,LV,: ,: ,: u,4380,3957,2467,: ,874,2912,: u,: ,: u
AME_C_S,MT,: ,: ,: ,: ,34 e,: ,169,137,404,: u,: u,: 
AME_C_S,NL,: ,: ,: ,: ,: ,: ,: ,: ,: ,340174 b,265459,: 
AME_C_S,NO,: ,76516,71415,96884,88654,94338,78298,102097,109264,: ,: ,: 
AME_C_S,PL,: ,: ,: ,28000,: ,: ,: ,12000,11000 e,: u,: u,: 
AME_C_S,PT,78102,144370,: ,: ,81507,: u,98825,86378,77642,73670,47194 u,: 
AME_C_S,RO,: ,: ,: ,: ,: ,: ,: ,6795,: ,: ,: u,: 
AME_C_S,SE,: ,: ,: ,154000,116000,161000,104000,114000,138000,: ,: ,: 
AME_C_S,SI,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: 
AME_C_S,SK,15205,15080,: ,: ,35435,27183,: ,8564,33358,: u,: ,: 
AME_C_S,UK,1077274,1201907,1289850,1447417,1528943,1523696,1245411,1228988,1364019,1285230,1332506,: 
AME_C_S_OTH,AT,: ,: ,69246 e,87680 e,54904,89391,60811,: u,40521,82421 u,72515 u,: 
AME_C_S_OTH,BE,: ,: ,94197,77725,110786,62758,89955,55575,: u,89930 u,118482,: 
AME_C_S_OTH,BG,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: u,: 
AME_C_S_OTH,CH,: ,: ,: ,: ,: ,: u,: ,: u,: u,: u,140650 u,: 
AME_C_S_OTH,CY,: ,: ,1033,951,1033,1450,455,777,829,: u,: u,: 
AME_C_S_OTH,CZ,: ,: ,: u,: ,: u,: ,: u,: ,: u,: u,: u,: 
AME_C_S_OTH,DE,: ,: ,: u,: u,: u,: u,: u,: u,: u,907907 u,985647 u,: 
AME_C_S_OTH,DK,: ,: ,53679,42775,: ,53030,33585,41951,41297,: u,: u,: 
AME_C_S_OTH,EA,: ,: ,: ,: ,: ,: ,: ,: ,: ,3138146 e,2935448 e,: 
AME_C_S_OTH,EE,: ,: ,: ,: ,: ,: ,: u,: ,: ,: u,: u,: 
AME_C_S_OTH,EL,: ,: ,: ,: ,: ,: ,: ,8211,0,: u,: ,: 
AME_C_S_OTH,ES,: ,: ,795719,: u,: u,: u,: u,722492,: u,599268,676278,589838
AME_C_S_OTH,EU27,: ,: ,: ,: ,: ,: ,: ,: ,: ,4469140 e,4331706 e,: 
AME_C_S_OTH,EU28,: ,: ,: ,: ,: ,: ,: ,: ,: ,4468435 e,4339010 e,: 
AME_C_S_OTH,FI,: ,: ,30000,40000,24000,48000,23000,: ,: ,67784 bu,: u,: u
AME_C_S_OTH,FR,: ,: ,836863,768884,757616,536360,526145,475462,616092,604352,591322,: 
AME_C_S_OTH,HR,: ,: ,: ,: ,: ,: ,: ,1439,6068,: ,: u,: 
AME_C_S_OTH,HU,: ,: ,14382,: u,: u,16479,: u,: u,3734,10467,12462,9958
AME_C_S_OTH,IE,: ,: ,32000,47000,37000,40000,33000,: u,: u,42249 u,31293 u,: u
AME_C_S_OTH,IT,: ,: ,546512,516015,310123,318233,336321,: ,285016,364150 u,115970 u,: u
