"Excelsior","Crocker Amazon","Marina","Nob Hill","North Beach","Pacific Heights","Presidio Heights","Russian Hill","Visitacion Valley","Diamond Heights","Glen Park","Inner Sunset","Lakeshore","Outer Mission","West Of Twin Peaks","Bayview","Bernal Heights","Castro","Haight","Mission","Noe","Parkside","Potrero","South Of Market","Twin Peaks","Western Addition","Inner Richmond","Outer Richmond","Outer Sunset","Seacliff","Golden Gate Park","Chinatown","Downtown","Financial District","Ocean View"
"Mission",0,0,0.00371558253915922,0.00300601168013608,0.00147663177046076,0.00253136874936131,0.000484217079330835,0.0024546852387566,0,0,0.000278070306152187,0.000949285861549539,0,0.000129445198142695,0.000124653607756852,0.000148625108009492,0.0012273426193783,0.00512984686077127,0.00372036961343725,0.00829879971067285,0.00257932981429783,0,0.00277591598724384,0.0197141654206575,0.000292449593417524,0.00735944928630413,0.000810234902096112,0.000623268038784262,0.000273274199658535,0,0.000345188700416456,0.00106914336281274,0.00806396210458067,0.00966537393381695,0
"Noe",0,0,0.00092530532908128,0.000580094048125777,0.000388335594428084,0.000522558834633193,0.000119857501263201,0.000661609794086619,0,0,0,0.000263686502779041,0,0,0,0,0.000206155805394267,0.00131364543961717,0.000776680221071787,0.00264643917634648,0.000258890396285389,0,0.000441074701427016,0.00375392429446157,0,0.001601276346002,0.000230127305646907,0.000119857501263201,0,0,0.000143829001515841,0.00033080489704331,0.00183620427425037,0.00273274199658535,0
"Parkside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148625108009492,0,0,0,0,0,0,0,0,0,0,0
"Potrero",0,0,0.00092530532908128,0.000690377400832911,0.000503410537521061,0.000642416335896393,0,0.00070473862366701,0,0,0,0.000191772002021121,0,0,0,0,0.000383544004042242,0.00131843251389521,0.000709570859023138,0.00374913722018354,0.000604074580594036,0,0.000632842187340328,0.00619429347146217,0.000124653607756852,0.00199923576617205,0.000182184305141627,0,0,0,0,0.000388335594428084,0.0029053476370631,0.00395529754168562,0
"South Of Market",0.000115061394769549,0,0.0133040019959029,0.00827034823147322,0.00621326112426192,0.0071435793330117,0.00136639357883172,0.00868718498228683,0,0,0.000556158676735612,0.00152937990967532,0,0.000345188700416456,0.000369160200669096,0.000311629503284321,0.0024259176320103,0.0115589779383256,0.00622771266925221,0.0225954422030961,0.00380188535939809,0.000158212804888987,0.00665448485724665,0.0428276051894992,0.000445870807920668,0.0168712755545993,0.00165402448521655,0.000997201765407962,0.000263686502779041,0,0.000791041443905886,0.00339435179067197,0.0221257669909118,0.0368008593177682,0
"Twin Peaks",0,0,0,0,0.000225331199153255,0,0,0,0,0,0,0,0,0,0,0,0,0.000292449593417524,0,0.000383544004042242,0,0,0,0.000685590326554879,0,0.000201359698900615,0,0,0,0,0,0,0.000297245699911175,0.000340392593922804,0
"Western Addition",0,0,0.00609855198590151,0.0033080489704331,0.00173075315689936,0.00264643917634648,0.000666396868364652,0.00339913886495001,0,0,0.000239715002526401,0.000642416335896393,0,0,0.000158212804888987,0,0.000695164475110944,0.00388818817963697,0.0027854901357999,0.00767106072515722,0.00142871586660234,0,0.0015869151231679,0.0164395356480144,0.000167800501768481,0.00639074416117389,0.000939666551915378,0.000810234902096112,0.000196568108514773,0,0.000613648729150101,0.00159170219744593,0.00823196131509276,0.0106625305381468,0
"Inner Richmond",0,0,0.00106431112745661,0.000445870807920668,0.000254098805899547,0.000589713357759937,0.000129445198142695,0.000536965218545386,0,0,0,0.000153416698395335,0,0,0,0,0,0.000599287506316003,0.000489004153608868,0.000901324796613021,0.000254098805899547,0,0.000143829001515841,0.0015869151231679,0,0.000954072935827572,0.000215743502273761,0.000230127305646907,0,0,0,0.000225331199153255,0.00143350294088037,0.00135198719491953,0
"Outer Richmond",0,0,0.000680803252276846,0.000388335594428084,0.000158212804888987,0.000258890396285389,0,0.000234918896032749,0,0,0,0,0,0,0,0,0,0.000282861896538029,0.000196568108514773,0.000580094048125777,0,0,0,0.000800660753540046,0,0.000536965218545386,0.000167800501768481,0.000134241304636347,0,0,0,0.000124653607756852,0.00071435793330117,0.000642416335896393,0
"Outer Sunset",0,0,0.000119857501263201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000119857501263201,0.000143829001515841,0.000220539608767413,0,0,0,0.000230127305646907,0,0.000191772002021121,0,0,0,0,0,0,0.000158212804888987,0.000172596608262133,0
"Seacliff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000143829001515841,0
"Golden Gate Park",0,0,0.000273274199658535,0.000163004395274829,0,0.000201359698900615,0,0.000119857501263201,0,0,0,0,0,0,0,0,0,0.000210947395780109,0.000220539608767413,0.000335601003536962,0,0,0,0.00033080489704331,0,0.000412307094680724,0,0,0,0,0,0,0.000278070306152187,0.00033080489704331,0
"Chinatown",0,0,0.00114582687341745,0.000441074701427016,0.000282861896538029,0.00059450043203797,0,0.000762273837159594,0,0,0,0,0,0,0,0,0.000167800501768481,0.000417103201174376,0.000278070306152187,0.000589713357759937,0.000163004395274829,0,0.000201359698900615,0.00204236459575244,0,0.000896537722334988,0.000129445198142695,0,0,0,0,0.000163004395274829,0.000738338465769429,0.00116023325732965,0
"Downtown",0,0,0.00476088085273798,0.0028286189653803,0.00186018480671863,0.00291013471134114,0.000508197611799094,0.00280463843291204,0,0,0.000129445198142695,0.000584881122403809,0,0,0.000148625108009492,0,0.000747912614325495,0.00346629338807675,0.00231084720502514,0.00519216914854189,0.00130402612998301,0,0.00126568437468066,0.0120530401326811,0.000139032895022189,0.00594003660178929,0.000723932081857236,0.000604074580594036,0.000143829001515841,0,0.000297245699911175,0.000915731180525214,0.00591158512258966,0.0068414517205585,0
"Financial District",0.000153416698395335,0,0.0123885869429243,0.006769645606388,0.00454997861803597,0.00899879642113992,0.00158212804888987,0.00779570530069845,0,0,0.000326013306657467,0.000810234902096112,0,0,0.000469855856496736,0.000282861896538029,0.000853363731676502,0.00521158841212259,0.00312108210712125,0.00999595302546979,0.00253620098471744,0,0.00292932816953136,0.0280608358741106,0.000225331199153255,0.0107822073950976,0.0014814188447388,0.000647248571252521,0.000263686502779041,0,0.000474642930774769,0.00184582358388453,0.0108111104850782,0.0141191594555113,0
"Ocean View",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
